00/0        SLDT Rv/Mw
00/1        STR Rv/Mw
00/2        LLDT Ew
00/3        LTR Ew
00/4        VERR Ew
00/5        VERW Ew
01/0        SGDT Ms
01/1        SIDT Ms
01/1        MONITOR (000),(11B)
01/1        MWAIT (001),(11B)
01/2        LGDT Ms
01/2        XGETBV (000),(11B)
01/2        XSETBV (001),(11B)
01/3        LIDT Ms
01/4        SMSW Mw/Rv
01/6        LMSW Ew
01/7        INVLPG Mb
01/7        RDTSCP (001),(11B)
02          LAR Gv,Ew
03          LSL Gv,Ew
06          CLTS
08          INVD
09          WBINVD
0B          UD2 (1B)
0D/0        PREFETCH
0D/1        PREFETCHW
0E          FEMMS
10         (v)movups Vps,Wps
10         (v)movupd Vpd,Wpd (66) (opdsize)
10         (v)movss Vx,Hx,Wss (F3),(v1) (REP)
10         (v)movsd Vx,Hx,Wsd (F2),(v1) (REPNE)
11         (v)movups Wps,Vps
11         (v)movupd Wpd,Vpd (66) (opdsize)
11         (v)movss Wss,Hx,Vss (F3),(v1) (REP)
11         (v)movsd Wsd,Hx,Vsd (F2),(v1) (REPNE)
12         (v)movlps Vq,Hq,Mq (v1)
12         (v)movhlps Vq,Hq,Uq (v1)
12         (v)movlpd Vq,Hq,Mq (66),(v1) (opdsize)
12         (v)movsldup Vx,Wx (F3) (REP)
12         (v)movddup Vx,Wx (F2) (REPNE)
13         (v)movlps Mq,Vq (v1)
13         (v)movlpd Mq,Vq (66),(v1) (opdsize)
14         (v)unpcklps Vx,Hx,Wx
14         (v)unpcklpd Vx,Hx,Wx (66) (opdsize)
15         (v)unpckhps Vx,Hx,Wx
15         (v)unpckhpd Vx,Hx,Wx (66) (opdsize)
16         (v)movhps Vdq,Hq,Mq (v1)
16         (v)movlhps Vdq,Hq,Uq (v1)
16         (v)movhpd Vdq,Hq,Mq (66),(v1) (opdsize)
16         (v)movshdup Vx,Wx (F3) (REP)
17         (v)movhps Mq,Vq (v1)
17         (v)movhpd Mq,Vq (66),(v1) (opdsize)
18/0        PREFETCHNTA
18/1        PREFETCHT0
18/2        PREFETCHT1
18/3        PREFETCHT2
1F          NOP Ev
20          MOV Rd,Cd
21          MOV Rd,Dd
22          MOV Cd,Rd
23          MOV Dd,Rd
28         (v)movaps Vps,Wps
28         (v)movapd Vpd,Wpd (66) (opdsize)
29         (v)movaps Wps,Vps
29         (v)movapd Wpd,Vpd (66) (opdsize)
2A          cvtpi2ps Vps,Qpi
2A          cvtpi2pd Vpd,Qpi (66) (opdsize)
