08            (v)roundps Vx,Wx,Ib (66) (opdsize)
09            (v)roundpd Vx,Wx,Ib (66) (opdsize)
0A            (v)roundss Vss,Wss,Ib (66),(v1) (opdsize)
0B            (v)roundsd Vsd,Wsd,Ib (66),(v1) (opdsize)
0C            (v)blendps Vx,Hx,Wx,Ib (66) (opdsize)
0D            (v)blendpd Vx,Hx,Wx,Ib (66) (opdsize)
0E            (v)pblendw Vx,Hx,Wx,Ib (66),(v1) (opdsize)
0F             palignr Pq,Qq,Ib
0F            (v)palignr Vx,Hx,Wx,Ib (66),(v1) (opdsize)
14            (v)pextrb Rd/Mb,Vdq,Ib (66),(v1) (opdsize)
15            (v)pextrw Rd/Mw,Vdq,Ib (66),(v1) (opdsize)
16            (v)pextrd/q Ey,Vdq,Ib (66),(v1) (opdsize)
17            (v)extractps Ed,Vdq,Ib (66),(v1) (opdsize)
20            (v)pinsrb Vdq,Hdq,Ry/Mb,Ib (66),(v1) (opdsize)
21            (v)insertps Vdq,Hdq,Udq/Md,Ib (66),(v1) (opdsize)
22            (v)pinsrd/q Vdq,Hdq,Ey,Ib (66),(v1) (opdsize)
40            (v)dpps Vx,Hx,Wx,Ib (66) (opdsize)
41            (v)dppd Vdq,Hdq,Wdq,Ib (66),(v1) (opdsize)
42            (v)mpsadbw Vx,Hx,Wx,Ib (66),(v1) (opdsize)
